skew_thr,streak_sec,cheap_thr,all_slices_positive,min_slice_pnl_usd,pnl_sum_usd_full,ev_per_window_usd_full,hits_full,slice_0_pnl_usd,slice_1_pnl_usd,slice_2_pnl_usd,slice_3_pnl_usd,slice_4_pnl_usd,slice_5_pnl_usd,slice_6_pnl_usd,slice_7_pnl_usd,slice_8_pnl_usd,slice_9_pnl_usd
0.76,6,0.2,0,-9.0,954.0403,0.955952,118,739.772134,218.163591,-4.0,-9.0,3.882353,0.555556,-1.0,0.666667,0.0,5.0
0.76,6,0.21,0,-9.0,866.085413,0.867821,119,739.270881,122.424242,-4.0,-9.0,3.882353,0.555556,-1.0,5.428571,0.0,8.52381
0.76,6,0.22,0,-5.454545,881.379785,0.883146,121,739.270881,122.207792,0.545455,-5.454545,2.427807,5.10101,3.545455,5.428571,0.0,8.307359
0.76,8,0.15,0,-9.0,1102.069986,1.104279,111,878.967532,216.991342,10.666667,-9.0,-5.0,-4.0,-2.0,3.666667,-5.0,16.777778
0.76,8,0.16,0,-11.0,1093.784632,1.095977,117,875.709957,216.991342,16.916667,-11.0,-5.0,-4.0,-5.0,2.25,-5.0,11.916667
0.76,8,0.17,0,-11.0,1090.355488,1.092541,122,875.34231,213.782786,16.54902,-11.0,-1.117647,-4.0,-6.0,-0.117647,-5.0,11.916667
0.76,8,0.18,0,-11.0,1099.466599,1.10167,124,874.34231,213.782786,16.54902,-11.0,-1.117647,0.555556,-0.444444,-0.117647,-5.0,11.916667
0.76,8,0.19,0,-5.736842,1094.975285,1.09717,124,867.105468,213.163591,15.929825,-5.736842,-1.117647,0.555556,-0.736842,-0.117647,-5.0,10.929825
0.76,8,0.2,0,-6.0,1011.303458,1.01333,126,772.105468,218.163591,15.929825,-6.0,2.882353,0.555556,-1.0,-1.0,-1.0,10.666667
0.76,8,0.21,0,-6.0,923.586666,0.925438,127,771.604214,122.424242,15.929825,-6.0,2.882353,0.555556,-1.0,3.761905,-1.0,14.428571
0.76,8,0.22,0,-2.454545,943.426493,0.945317,129,771.604214,126.753247,20.475279,-2.454545,1.427807,5.10101,3.545455,3.761905,-1.0,14.212121
0.76,10,0.15,0,-8.0,1204.90515,1.20732,123,982.11039,216.991342,8.666667,-1.307692,-8.0,-5.0,-4.0,3.666667,-5.0,16.777778
0.76,10,0.16,0,-8.0,1184.760823,1.187135,129,978.852814,216.991342,4.5,-4.75,-8.0,-5.0,-7.0,2.25,-5.0,11.916667
0.76,10,0.17,0,-7.0,1187.846384,1.190227,133,978.485167,213.782786,4.132353,0.764706,-4.117647,-5.0,-7.0,-0.117647,-5.0,11.916667
0.76,10,0.18,0,-5.0,1196.630698,1.199029,135,977.485167,213.782786,4.132353,0.437908,-4.117647,-0.444444,-1.444444,-0.117647,-5.0,11.916667
0.76,10,0.19,0,-5.0,1191.227791,1.193615,135,970.248325,213.163591,3.513158,4.789474,-4.117647,-0.444444,-1.736842,-0.117647,-5.0,10.929825
0.76,10,0.2,0,-2.0,1107.819122,1.110039,137,875.248325,218.163591,3.513158,4.789474,-0.117647,-0.444444,-2.0,-1.0,-1.0,10.666667
0.76,10,0.21,0,-2.0,1018.480629,1.020522,138,874.747072,122.424242,3.513158,4.288221,-1.238095,-0.444444,-2.0,3.761905,-1.0,14.428571
0.76,10,0.22,0,-2.909091,1042.64946,1.044739,140,874.747072,126.753247,8.058612,7.833675,-2.909091,4.10101,7.090909,3.761905,-1.0,14.212121
0.76,12,0.15,0,-8.0,1208.016262,1.210437,131,981.11039,216.991342,7.666667,-1.307692,-8.0,-5.0,-5.0,12.777778,-5.0,13.777778
0.76,12,0.16,0,-9.0,1186.871934,1.18925,138,977.852814,216.991342,3.5,-4.75,-9.0,-5.0,-8.0,11.361111,-5.0,8.916667
0.76,12,0.17,0,-8.0,1190.957495,1.193344,141,977.485167,213.782786,3.132353,0.764706,-4.117647,-5.0,-8.0,8.993464,-5.0,8.916667
0.76,12,0.18,0,-5.0,1199.741809,1.202146,143,976.485167,213.782786,3.132353,0.437908,-4.117647,-0.444444,-2.444444,8.993464,-5.0,8.916667
0.76,12,0.19,0,-5.117647,1193.338902,1.19573,144,969.248325,213.163591,2.513158,4.789474,-5.117647,-0.444444,-2.736842,8.993464,-5.0,7.929825
0.76,12,0.2,0,-3.0,1103.819122,1.106031,146,874.248325,218.163591,2.513158,4.789474,-1.117647,-0.444444,-3.0,2.0,-1.0,7.666667
0.76,12,0.21,0,-3.0,1014.480629,1.016514,147,873.747072,122.424242,2.513158,4.288221,-2.238095,-0.444444,-3.0,6.761905,-1.0,11.428571
0.76,12,0.22,0,-3.909091,1038.194915,1.040275,149,873.747072,126.753247,7.058612,7.833675,-3.909091,4.10101,6.090909,6.307359,-1.0,11.212121
0.76,14,0.15,0,-9.0,1193.516262,1.195908,133,969.61039,216.991342,8.666667,-1.307692,-9.0,-5.0,-6.0,12.777778,-6.0,12.777778
0.76,14,0.16,0,-11.0,1166.121934,1.168459,140,966.352814,216.991342,4.5,-11.0,-10.0,-5.0,-9.0,11.361111,-6.0,7.916667
0.76,14,0.17,0,-9.0,1170.575142,1.172921,143,965.985167,213.782786,4.132353,-5.117647,-5.117647,-5.0,-9.0,8.993464,-6.0,7.916667
0.76,14,0.18,0,-6.0,1179.359456,1.181723,145,964.985167,213.782786,4.132353,-5.444444,-5.117647,-0.444444,-3.444444,8.993464,-6.0,7.916667
0.76,14,0.19,0,-6.0,1181.812586,1.184181,145,964.985167,213.163591,3.513158,-0.473684,-5.117647,-0.444444,-3.736842,8.993464,-6.0,6.929825
0.76,14,0.2,0,-4.0,1090.62614,1.092812,147,869.985167,216.496924,3.513158,-0.473684,-1.117647,-0.444444,-4.0,2.0,-2.0,6.666667
0.76,14,0.21,0,-4.0,1001.7889,1.003796,148,869.985167,120.757576,3.513158,-0.974937,-2.238095,-0.444444,-4.0,6.761905,-2.0,10.428571
0.76,14,0.22,0,-3.909091,1025.503185,1.027558,150,869.985167,125.08658,8.058612,2.570517,-3.909091,4.10101,5.090909,6.307359,-2.0,10.212121
0.76,16,0.15,0,-9.0,1186.516262,1.188894,140,968.61039,214.991342,8.666667,-2.307692,-9.0,-6.0,-6.0,12.777778,-8.0,12.777778
0.76,16,0.16,0,-12.0,1159.121934,1.161445,147,965.352814,214.991342,4.5,-12.0,-10.0,-6.0,-9.0,11.361111,-8.0,7.916667
0.76,16,0.17,0,-9.0,1163.575142,1.165907,150,964.985167,211.782786,4.132353,-6.117647,-5.117647,-6.0,-9.0,8.993464,-8.0,7.916667
